name	kind	ident	code_rva	shared
kRvaFindHitMobInRect	hash	cc448aa9bbb0bc580408618e7a9470f1989404a699eef3dce3c920586240b44	0xFD6F50	0
kRvaOnKey	hash	c5eb693e7593faee078e5443f686e2cbfbd94d898d0eb031fba6c4247a73dd2	0x10D3AC0	0
kRvaIsFocusedInputField	hash	cd38494b20ad62dc9c407b829d78746c4df089b8a6c8d0c286890df2752a9bd	0x17141E0	0
kRvaSetHunting	hash	c8120ba9190aa3fe7710d4b050e1d570efce63dc3c6c13691ce85855bdcffb8	0x3D2D8B0	0
kRvaHandleCheck	hash	e72957d08006475ceba98397e0eeb91cfaebf772a828b1efa13a595d9af37f1	0x3D327A0	0
kRvaIsSameHandle	hash	d0735b1bb4db099388b8faf3e98639131e46d15df2ab6bd3829e38c652a2e4d	0x3D33B40	0
kRvaMobWua	hash	a8770b3bce3cb377ee06fb5c82a02c24d6e6130d03fc0a8bae77da2e5c3e43a	0x123F970	1
kRvaBaseWua	hash	a8770b3bce3cb377ee06fb5c82a02c24d6e6130d03fc0a8bae77da2e5c3e43a	0x1224DF0	1
kRvaInspect	hash	e14b5e5eec901bba71a9edd45dfd783d088e948cdc7e492287e43cab5357d8b	0x1235360	0
kRvaCtrlStop	hash	c15f07007eb92ad883eaea57deee8a134726cd9edeefb699897995e1ff5a7ad	0x123ECE0	1
kRvaCtrlMove	hash	a8770b3bce3cb377ee06fb5c82a02c24d6e6130d03fc0a8bae77da2e5c3e43a	0x123F970	1
kRvaCtrlJump	hash	e2d82a65d69c834aee16cd42e9b2f73f5fae20527c68acfe43917d399c213a9	0x12407C0	0
kRvaCtrlFly	hash	d8e0048476aeb3d00989a3c195398aa2cb30645fd48b41466d39d4aa33250df	0x1241CC0	0
kRvaDumpApplyStub	hash	a9af404e1247a7822d1c398e67ad3c330a5928228a153bf97225d0f62c83067	0xF94BA0	0
kRvaDumpOnFixedUpdate	hash	ffdf27dfed118bb0be4679db7292ae671261aee6fb8eee92b1662b63b641ec6	0xFF4460	0
kRvaPullKick	hash	bd4580c69d34ec90df30974e328a92c8ab2f231fef8393b406acc05ea551093	0x1CBC700	0
kRvaPullSend	hash	d1d98810b77d0242118f6d8c449b2912f9ae3c5aaf174bce1f6071c98e54c57	0x1CBA790	0
kRvaDensity	hash	b7cb72f247a26ba0ac0e88baa1bcb406239d55d8c3a40b7f5e5199613995248	0x1CBF590	0
kRvaDeadPos	hash	eef1bd12cb872e7daef453605d579030515edcc6a4dd0563b647f39d769a158	0x1CB3D10	0
